time,gFx,gFy,gFz,TgF
15:28:20:8520,-0.4349,0.3535,0.9824,1.131
15:28:20:8590,-0.4163,0.3737,0.9753,1.124
15:28:20:8600,-0.3994,0.3970,0.9726,1.124
15:28:20:8610,-0.3867,0.4192,0.9716,1.127
15:28:20:8610,-0.3779,0.4368,0.9711,1.130
15:28:20:8620,-0.3713,0.4471,0.9689,1.130
15:28:20:8640,-0.3654,0.4495,0.9650,1.126
15:28:20:8680,-0.3608,0.4451,0.9589,1.117
15:28:20:8680,-0.3586,0.4341,0.9509,1.105
15:28:20:8700,-0.3598,0.4187,0.9403,1.090
15:28:20:8720,-0.3654,0.4004,0.9276,1.074
15:28:20:8740,-0.3728,0.3813,0.9139,1.058
15:28:20:8760,-0.3794,0.3630,0.9005,1.042
15:28:20:8780,-0.3840,0.3454,0.8885,1.028
15:28:20:8800,-0.3855,0.3288,0.8768,1.013
15:28:20:8990,-0.3847,0.3139,0.8653,0.998
15:28:20:8990,-0.3843,0.3007,0.8558,0.985
15:28:20:9000,-0.3838,0.2901,0.8480,0.975
15:28:20:9000,-0.3833,0.2826,0.8404,0.966
15:28:20:9000,-0.3862,0.2772,0.8333,0.959
15:28:20:9000,-0.3918,0.2738,0.8260,0.954
15:28:20:9010,-0.4014,0.2699,0.8181,0.950
15:28:20:9020,-0.4182,0.2635,0.8115,0.950
15:28:20:9020,-0.4346,0.2596,0.8037,0.950
15:28:20:9020,-0.4427,0.2620,0.7903,0.943
15:28:20:9040,-0.4473,0.2657,0.7741,0.933
15:28:20:9040,-0.4581,0.2647,0.7609,0.927
15:28:20:9080,-0.4725,0.2618,0.7472,0.922
15:28:20:9080,-0.4847,0.2620,0.7272,0.912
15:28:20:9100,-0.4923,0.2642,0.7023,0.897
15:28:20:9120,-0.4967,0.2662,0.6781,0.882
15:28:20:9140,-0.4967,0.2669,0.6573,0.866
15:28:20:9160,-0.4928,0.2657,0.6392,0.850
15:28:20:9180,-0.4847,0.2618,0.6245,0.833
15:28:20:9220,-0.4735,0.2547,0.6150,0.817
15:28:20:9250,-0.4591,0.2461,0.6101,0.802
15:28:20:9260,-0.4422,0.2369,0.6089,0.789
15:28:20:9300,-0.4246,0.2273,0.6101,0.777
15:28:20:9300,-0.4067,0.2190,0.6133,0.768
15:28:20:9300,-0.3904,0.2107,0.6177,0.760
15:28:20:9320,-0.3750,0.2026,0.6228,0.755
15:28:20:9350,-0.3615,0.1963,0.6287,0.751
15:28:20:9360,-0.3513,0.1916,0.6346,0.750
15:28:20:9390,-0.3437,0.1880,0.6399,0.750
15:28:20:9440,-0.3415,0.1836,0.6473,0.754
15:28:20:9450,-0.3444,0.1777,0.6566,0.762
15:28:20:9450,-0.3461,0.1728,0.6634,0.768
15:28:20:9460,-0.3420,0.1709,0.6634,0.766
15:28:20:9490,-0.3366,0.1682,0.6649,0.764
15:28:20:9510,-0.3371,0.1616,0.6766,0.773
15:28:20:9520,-0.3388,0.1552,0.6915,0.786
15:28:20:9600,-0.3317,0.1542,0.6959,0.786
15:28:20:9600,-0.3165,0.1560,0.6891,0.774
15:28:20:9610,-0.3033,0.1542,0.6883,0.768
15:28:20:9620,-0.3024,0.1459,0.7094,0.785
15:28:20:9620,-0.3085,0.1384,0.7389,0.813
15:28:20:9640,-0.3087,0.1388,0.7580,0.830
15:28:20:9660,-0.3033,0.1452,0.7639,0.835
15:28:20:9680,-0.3002,0.1518,0.7690,0.839
15:28:20:9750,-0.3031,0.1560,0.7893,0.860
15:28:20:9760,-0.3095,0.1601,0.8179,0.889
15:28:20:9770,-0.3119,0.1667,0.8384,0.910
15:28:20:9770,-0.3109,0.1762,0.8506,0.923
15:28:20:9780,-0.3109,0.1865,0.8624,0.935
15:28:20:9800,-0.3097,0.1965,0.8736,0.947
15:28:20:9820,-0.3031,0.2061,0.8809,0.954
15:28:20:9840,-0.2943,0.2139,0.8849,0.957
15:28:20:9870,-0.2870,0.2180,0.8856,0.956
